team,self_previous_shot,player_position,home_game,location_x,points,location_y,shoot_player,time_from_last_shot,quarter,current_shot_outcome,home_team_name,away_team_name,player_position_name,shot_type_es,weekday,time_decimal,time_elapsed,distance_ft_to_basket,game_id,cell_x,cell_y,cell
ATL,Fallido,C,Si,52,2,250,Dwight Howard,2,1,Anotado,Atlanta Hawks,Washington Wizards,Centro,Tip Tunk Shunk,Jueves,1.183333333,1.183333333,255.3507392,1,11,49,1149
ATL,Anotado,SG,Si,239,2,223,Kyle Korver,30,1,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Salto de salto,Jueves,1.683333333,1.683333333,326.8791826,1,51,44,5144
ATL,Anotado,PG,Si,102,2,385,Dennis Schroder,35,1,Anotado,Atlanta Hawks,Washington Wizards,Base,Tiro de salto pullup,Jueves,2.266666667,2.266666667,398.282563,1,21,76,2176
ATL,Anotado,PF,Si,128,2,265,Paul Millsap,24,1,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Tiro de salto de respuesta,Jueves,2.666666667,2.666666667,294.2940706,1,27,52,2752
ATL,Fallido,PG,Si,210,2,267,Dennis Schroder,27,1,Fallido,Atlanta Hawks,Washington Wizards,Base,Tiro de salto pullup,Jueves,3.116666667,3.116666667,339.6895642,1,45,53,4553
ATL,Fallido,SF,Si,279,3,130,Kent Bazemore,4,1,Fallido,Atlanta Hawks,Washington Wizards,Alero,Salto de salto,Jueves,3.183333333,3.183333333,307.8002599,1,59,25,5925
ATL,Fallido,PG,Si,58,2,262,Dennis Schroder,50,1,Fallido,Atlanta Hawks,Washington Wizards,Base,Bandeja,Jueves,4.016666667,4.016666667,268.343064,1,12,52,1252
ATL,Fallido,C,Si,107,2,254,Dwight Howard,3,1,Fallido,Atlanta Hawks,Washington Wizards,Centro,Tiro de salto de respuesta,Jueves,4.066666667,4.066666667,275.6174886,1,22,50,2250
ATL,Fallido,PF,Si,167,2,306,Paul Millsap,47,1,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Tiro de salto pullup,Jueves,4.85,4.85,348.6043603,1,35,61,3561
ATL,Anotado,PF,Si,107,2,296,Paul Millsap,37,1,Bloqueado,Atlanta Hawks,Washington Wizards,Ala pivot,Tiro de salto pullup,Jueves,5.466666667,5.466666667,314.7459293,1,22,59,2259
ATL,Bloqueado,PG,Si,54,3,473,Dennis Schroder,6,1,Anotado,Atlanta Hawks,Washington Wizards,Base,Salto de salto,Jueves,5.566666667,5.566666667,476.0724735,1,11,94,1194
ATL,Anotado,PG,Si,118,2,264,Dennis Schroder,34,1,Fallido,Atlanta Hawks,Washington Wizards,Base,ConducciÃ³n de salto flotante,Jueves,6.133333333,6.133333333,289.1712296,1,25,52,2552
ATL,Fallido,PG,Si,118,2,275,Dennis Schroder,40,1,Bloqueado,Atlanta Hawks,Washington Wizards,Base,ConducciÃ³n de salto flotante,Jueves,6.8,6.8,299.2473893,1,25,54,2554
ATL,Bloqueado,SG,Si,74,2,102,Tim Hardaway Jr.,45,1,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Jr. 15 'Driving Floating Jump Shot,Jueves,7.55,7.55,126.015872,1,15,20,1520
ATL,Fallido,C,Si,62,2,329,Dwight Howard,3,1,Anotado,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,Jueves,7.6,7.6,334.7909796,1,13,65,1365
ATL,Anotado,C,Si,293,3,264,Mike Muscala,24,1,Fallido,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,Jueves,8,8,394.391937,1,62,52,6252
ATL,Fallido,C,Si,82,2,373,Dwight Howard,22,1,Fallido,Atlanta Hawks,Washington Wizards,Centro,Jump Bank Shot,Jueves,8.366666667,8.366666667,381.9070568,1,17,74,1774
ATL,Fallido,SG,Si,62,3,477,Tim Hardaway Jr.,26,1,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto de 3 puntos,Jueves,8.8,8.8,481.0124739,1,13,95,1395
ATL,Anotado,SG,Si,225,2,355,Tim Hardaway Jr.,40,1,Fallido,Atlanta Hawks,Washington Wizards,Escolta,JR. 20 'Jump Stripp Shot,Jueves,9.466666667,9.466666667,420.2975137,1,48,70,4870
ATL,Fallido,G,Si,126,2,436,Malcolm Delaney,46,1,Anotado,Atlanta Hawks,Washington Wizards,Guardia,Tiro de salto pullup,Jueves,10.23333333,10.23333333,453.841382,1,27,87,2787
ATL,Anotado,PF,Si,171,2,259,Paul Millsap,40,1,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Paso atrÃ¡s en el salto de salto,Jueves,10.9,10.9,310.357858,1,36,51,3651
ATL,Anotado,SF,Si,64,2,254,Thabo Sefolosha,29,1,Bloqueado,Atlanta Hawks,Washington Wizards,Alero,Bandeo,Jueves,11.38333333,11.38333333,261.9389242,1,13,50,1350
ATL,Bloqueado,PF,Si,59,2,113,Paul Millsap,11,1,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Paso atrÃ¡s en el salto de salto,Jueves,11.56666667,11.56666667,127.4754878,1,12,22,1222
ATL,Anotado,G,Si,128,2,161,Malcolm Delaney,26,1,Fallido,Atlanta Hawks,Washington Wizards,Guardia,ConducciÃ³n de salto flotante,Jueves,12,12,205.6817931,1,27,32,2732
ATL,Fallido,SG,Si,108,3,485,Kyle Korver,31,2,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Paso atrÃ¡s en el salto de salto,Jueves,0.266666667,12.26666667,496.879261,1,23,96,2396
ATL,Fallido,G,Si,210,2,313,Malcolm Delaney,38,2,Fallido,Atlanta Hawks,Washington Wizards,Guardia,Tiro de salto pullup,Jueves,0.9,12.9,376.920416,1,45,62,4562
ATL,Fallido,PF,Si,295,3,269,Paul Millsap,25,2,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,1.316666667,13.31666667,399.2317623,1,63,53,6353
ATL,Fallido,G,Si,58,2,265,Malcolm Delaney,14,2,Fallido,Atlanta Hawks,Washington Wizards,Guardia,Bandeja,Jueves,1.55,13.55,271.2729253,1,12,52,1252
ATL,Fallido,SF,Si,59,2,274,Thabo Sefolosha,25,2,Anotado,Atlanta Hawks,Washington Wizards,Alero,Tiro de bandeja de corte,Jueves,1.966666667,13.96666667,280.2802169,1,12,54,1254
ATL,Anotado,SF,Si,52,2,250,Thabo Sefolosha,14,2,Anotado,Atlanta Hawks,Washington Wizards,Alero,Correr tiro de inmersiÃ³n inversa,Jueves,2.2,14.2,255.3507392,1,11,49,1149
ATL,Anotado,SF,Si,64,2,408,Thabo Sefolosha,23,2,Fallido,Atlanta Hawks,Washington Wizards,Alero,Salto de salto,Jueves,2.583333333,14.58333333,412.989104,1,13,81,1381
ATL,Fallido,SG,Si,207,3,455,Kyle Korver,30,2,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto,Jueves,3.083333333,15.08333333,499.8739841,1,44,90,4490
ATL,Anotado,SF,Si,52,2,250,Thabo Sefolosha,25,2,Anotado,Atlanta Hawks,Washington Wizards,Alero,Corte de tiro de volcado,Jueves,3.5,15.5,255.3507392,1,11,49,1149
ATL,Anotado,PF,Si,157,2,265,Paul Millsap,55,2,Bloqueado,Atlanta Hawks,Washington Wizards,Ala pivot,Tiro de salto pullup,Jueves,4.416666667,16.41666667,308.0162333,1,33,52,3352
ATL,Bloqueado,SG,Si,112,3,27,Kyle Korver,6,2,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Disparo del banco pullup,Jueves,4.516666667,16.51666667,115.2085066,1,24,5,2405
ATL,Fallido,PG,Si,190,3,460,Dennis Schroder,58,2,Fallido,Atlanta Hawks,Washington Wizards,Base,Tiro de salto pullup,Jueves,5.483333333,17.48333333,497.6946855,1,40,91,4091
ATL,Fallido,PG,Si,290,3,172,Dennis Schroder,24,2,Anotado,Atlanta Hawks,Washington Wizards,Base,Salto de salto,Jueves,5.883333333,17.88333333,337.17058,1,62,34,6234
ATL,Anotado,PF,Si,166,2,259,Kris Humphries,39,2,Fallido,Atlanta Hawks,Washington Wizards,Ala pivot,Salto de salto,Jueves,6.533333333,18.53333333,307.6312728,1,35,51,3551
ATL,Fallido,C,Si,112,2,278,Dwight Howard,125,2,Anotado,Atlanta Hawks,Washington Wizards,Centro,Tiro de gancho,Jueves,8.616666667,20.61666667,299.7131962,1,24,55,2455
ATL,Anotado,SG,Si,264,3,125,Tim Hardaway Jr.,43,2,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto de 25 '3 puntos,Jueves,9.333333333,21.33333333,292.0975864,1,56,24,5624
ATL,Fallido,C,Si,53,2,251,Dwight Howard,3,2,Fallido,Atlanta Hawks,Washington Wizards,Centro,Punta de enlace de punta,Jueves,9.383333333,21.38333333,256.5345981,1,11,50,1150
ATL,Fallido,SF,Si,58,2,275,Kent Bazemore,30,2,Fallido,Atlanta Hawks,Washington Wizards,Alero,Tiro de bandeja de corte,Jueves,9.883333333,21.88333333,281.0498176,1,12,54,1254
ATL,Fallido,C,Si,52,2,250,Dwight Howard,4,2,Fallido,Atlanta Hawks,Washington Wizards,Centro,Tip Tunk Shunk,Jueves,9.95,21.95,255.3507392,1,11,49,1149
ATL,Fallido,SG,Si,205,2,236,Tim Hardaway Jr.,19,2,Anotado,Atlanta Hawks,Washington Wizards,Escolta,JR. 15 'PULLUP JUMP TOTO,Jueves,10.26666667,22.26666667,312.6035828,1,43,47,4347
ATL,Anotado,C,Si,53,2,275,Dwight Howard,40,2,Fallido,Atlanta Hawks,Washington Wizards,Centro,Bandeo,Jueves,10.93333333,22.93333333,280.0607077,1,11,54,1154
ATL,Fallido,PF,Si,51,2,252,Paul Millsap,2,2,Anotado,Atlanta Hawks,Washington Wizards,Ala pivot,Bulto,Jueves,10.96666667,22.96666667,257.1089263,1,10,50,1050
