team,self_previous_shot,player_position,home_game,location_x,home_team,shot_type,points,away_team,location_y,time,date,shoot_player,time_from_last_shot,quarter,current_shot_outcome,home_team_name,away_team_name,player_position_name,shot_type_es,date_formatted,weekday,distance_ft_to_basket,game_id
ATL,,SF,Si,97,ATL,Pullup Jump Shot,2,WAS,405,1:09,27/10/2016,Kent Bazemore,,1,Fallido,Atlanta Hawks,Washington Wizards,Alero,Tiro de salto pullup,27/10/2016,Jueves,416.4540791,1
ATL,Fallido,C,Si,52,ATL,Tip Dunk Shot,2,WAS,250,1:11,27/10/2016,Dwight Howard,2,1,Anotado,Atlanta Hawks,Washington Wizards,Centro,Tip Tunk Shunk,27/10/2016,Jueves,255.3507392,1
ATL,Anotado,SG,Si,239,ATL,Jump Shot,2,WAS,223,1:41,27/10/2016,Kyle Korver,30,1,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Salto de salto,27/10/2016,Jueves,326.8791826,1
ATL,Anotado,PG,Si,102,ATL,Pullup Jump Shot,2,WAS,385,2:16,27/10/2016,Dennis Schroder,35,1,Anotado,Atlanta Hawks,Washington Wizards,Base,Tiro de salto pullup,27/10/2016,Jueves,398.282563,1
ATL,Anotado,PF,Si,128,ATL,Turnaround Jump Shot,2,WAS,265,2:40,27/10/2016,Paul Millsap,24,1,Fallido,Atlanta Hawks,Washington Wizards,Ala-pÃ­vot,Tiro de salto de respuesta,27/10/2016,Jueves,294.2940706,1
ATL,Fallido,PG,Si,210,ATL,Pullup Jump Shot,2,WAS,267,3:07,27/10/2016,Dennis Schroder,27,1,Fallido,Atlanta Hawks,Washington Wizards,Base,Tiro de salto pullup,27/10/2016,Jueves,339.6895642,1
ATL,Fallido,SF,Si,279,ATL,Jump Shot,3,WAS,130,3:11,27/10/2016,Kent Bazemore,4,1,Fallido,Atlanta Hawks,Washington Wizards,Alero,Salto de salto,27/10/2016,Jueves,307.8002599,1
ATL,Fallido,PG,Si,58,ATL,Driving Layup,2,WAS,262,4:01,27/10/2016,Dennis Schroder,50,1,Fallido,Atlanta Hawks,Washington Wizards,Base,Bandeja,27/10/2016,Jueves,268.343064,1
ATL,Fallido,C,Si,107,ATL,Turnaround Jump Shot,2,WAS,254,4:04,27/10/2016,Dwight Howard,3,1,Fallido,Atlanta Hawks,Washington Wizards,Centro,Tiro de salto de respuesta,27/10/2016,Jueves,275.6174886,1
ATL,Fallido,PF,Si,167,ATL,Pullup Jump Shot,2,WAS,306,4:51,27/10/2016,Paul Millsap,47,1,Anotado,Atlanta Hawks,Washington Wizards,Ala-pÃ­vot,Tiro de salto pullup,27/10/2016,Jueves,348.6043603,1
ATL,Anotado,PF,Si,107,ATL,Pullup Jump Shot,2,WAS,296,5:28,27/10/2016,Paul Millsap,37,1,Bloqueado,Atlanta Hawks,Washington Wizards,Ala-pÃ­vot,Tiro de salto pullup,27/10/2016,Jueves,314.7459293,1
ATL,Bloqueado,PG,Si,54,ATL,Jump Shot,3,WAS,473,5:34,27/10/2016,Dennis Schroder,6,1,Anotado,Atlanta Hawks,Washington Wizards,Base,Salto de salto,27/10/2016,Jueves,476.0724735,1
ATL,Anotado,PG,Si,118,ATL,Driving Floating Jump Shot,2,WAS,264,6:08,27/10/2016,Dennis Schroder,34,1,Fallido,Atlanta Hawks,Washington Wizards,Base,ConducciÃ³n de salto flotante,27/10/2016,Jueves,289.1712296,1
ATL,Fallido,PG,Si,118,ATL,Driving Floating Jump Shot,2,WAS,275,6:48,27/10/2016,Dennis Schroder,40,1,Bloqueado,Atlanta Hawks,Washington Wizards,Base,ConducciÃ³n de salto flotante,27/10/2016,Jueves,299.2473893,1
ATL,Bloqueado,SG,Si,74,ATL,Jr. 15' Driving Floating Jump Shot,2,WAS,102,7:33,27/10/2016,Tim Hardaway Jr.,45,1,Fallido,Atlanta Hawks,Washington Wizards,Escolta,Jr. 15 'Driving Floating Jump Shot,27/10/2016,Jueves,126.015872,1
ATL,Fallido,C,Si,62,ATL,Jump Shot,2,WAS,329,7:36,27/10/2016,Dwight Howard,3,1,Anotado,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,27/10/2016,Jueves,334.7909796,1
ATL,Anotado,C,Si,293,ATL,Jump Shot,3,WAS,264,8:00,27/10/2016,Mike Muscala,24,1,Fallido,Atlanta Hawks,Washington Wizards,Centro,Salto de salto,27/10/2016,Jueves,394.391937,1
ATL,Fallido,C,Si,82,ATL,Jump Bank Shot,2,WAS,373,8:22,27/10/2016,Dwight Howard,22,1,Fallido,Atlanta Hawks,Washington Wizards,Centro,Jump Bank Shot,27/10/2016,Jueves,381.9070568,1
ATL,Fallido,SG,Si,62,ATL,3PT Jump Shot,3,WAS,477,8:48,27/10/2016,Tim Hardaway Jr.,26,1,Anotado,Atlanta Hawks,Washington Wizards,Escolta,Tiro de salto de 3 puntos,27/10/2016,Jueves,481.0124739,1
ATL,Anotado,SG,Si,225,ATL,Jr. 20' Pullup Jump Shot,2,WAS,355,9:28,27/10/2016,Tim Hardaway Jr.,40,1,Fallido,Atlanta Hawks,Washington Wizards,Escolta,JR. 20 'Jump Stripp Shot,27/10/2016,Jueves,420.2975137,1
