Away Team ID,Away Team Abbr,Away Team City,Away Team Name,Home Team ID,Home Team Abbr,Home Team City,Home Team Name,Location
83,NYK,New York,Knicks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
98,UTA,Utah,Jazz,97,POR,Portland,Trail Blazers,Moda Center
106,SAS,San Antonio,Spurs,101,GSW,Golden State,Warriors,Oracle Arena
92,MIA,Miami,Heat,95,ORL,Orlando,Magic,Amway Center
108,DAL,Dallas,Mavericks,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
84,BRO,Brooklyn,Nets,82,BOS,Boston,Celtics,TD Garden
88,DET,Detroit,Pistons,81,TOR,Toronto,Raptors,Air Canada Centre
93,CHA,Charlotte,Hornets,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
100,MIN,Minnesota,Timberwolves,107,MEM,Memphis,Grizzlies,FedEx Forum
99,DEN,Denver,Nuggets,110,NOP,New Orleans,Pelicans,Smoothie King Center
96,OKL,Oklahoma City,Thunder,85,PHI,Philadelphia,76ers,Wells Fargo Center
103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
109,HOU,Houston,Rockets,105,LAL,Los Angeles,Lakers,Staples Center
94,WAS,Washington,Wizards,91,ATL,Atlanta,Hawks,Philips Arena
82,BOS,Boston,Celtics,89,CHI,Chicago,Bulls,United Center
106,SAS,San Antonio,Spurs,103,SAC,Sacramento,Kings,Sleep Train Arena
102,LAC,Los Angeles,Clippers,97,POR,Portland,Trail Blazers,Moda Center
86,CLE,Cleveland,Cavaliers,81,TOR,Toronto,Raptors,Air Canada Centre
87,IND,Indiana,Pacers,84,BRO,Brooklyn,Nets,Barclays Center
95,ORL,Orlando,Magic,88,DET,Detroit,Pistons,Palace of Auburn Hills
104,PHX,Phoenix,Suns,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
93,CHA,Charlotte,Hornets,92,MIA,Miami,Heat,American Airlines Arena
109,HOU,Houston,Rockets,108,DAL,Dallas,Mavericks,American Airlines Center
105,LAL,Los Angeles,Lakers,98,UTA,Utah,Jazz,Vivint Smart Home Arena
101,GSW,Golden State,Warriors,110,NOP,New Orleans,Pelicans,Smoothie King Center
91,ATL,Atlanta,Hawks,85,PHI,Philadelphia,76ers,Wells Fargo Center
82,BOS,Boston,Celtics,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
107,MEM,Memphis,Grizzlies,83,NYK,New York,Knicks,Madison Square Garden
95,ORL,Orlando,Magic,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
87,IND,Indiana,Pacers,89,CHI,Chicago,Bulls,United Center
84,BRO,Brooklyn,Nets,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
110,NOP,New Orleans,Pelicans,106,SAS,San Antonio,Spurs,AT&T Center
97,POR,Portland,Trail Blazers,99,DEN,Denver,Nuggets,Pepsi Center
100,MIN,Minnesota,Timberwolves,103,SAC,Sacramento,Kings,Sleep Train Arena
98,UTA,Utah,Jazz,102,LAC,Los Angeles,Clippers,Staples Center
101,GSW,Golden State,Warriors,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
106,SAS,San Antonio,Spurs,92,MIA,Miami,Heat,American Airlines Arena
90,MIL,Milwaukee,Bucks,88,DET,Detroit,Pistons,Palace of Auburn Hills
105,LAL,Los Angeles,Lakers,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
94,WAS,Washington,Wizards,107,MEM,Memphis,Grizzlies,FedEx Forum
108,DAL,Dallas,Mavericks,109,HOU,Houston,Rockets,Toyota Center
99,DEN,Denver,Nuggets,81,TOR,Toronto,Raptors,Air Canada Centre
89,CHI,Chicago,Bulls,84,BRO,Brooklyn,Nets,Barclays Center
103,SAC,Sacramento,Kings,91,ATL,Atlanta,Hawks,Philips Arena
104,PHX,Phoenix,Suns,102,LAC,Los Angeles,Clippers,Staples Center
109,HOU,Houston,Rockets,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
95,ORL,Orlando,Magic,85,PHI,Philadelphia,76ers,Wells Fargo Center
105,LAL,Los Angeles,Lakers,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
103,SAC,Sacramento,Kings,92,MIA,Miami,Heat,American Airlines Arena
83,NYK,New York,Knicks,88,DET,Detroit,Pistons,Palace of Auburn Hills
90,MIL,Milwaukee,Bucks,110,NOP,New Orleans,Pelicans,Smoothie King Center
107,MEM,Memphis,Grizzlies,100,MIN,Minnesota,Timberwolves,Target Center
98,UTA,Utah,Jazz,106,SAS,San Antonio,Spurs,AT&T Center
101,GSW,Golden State,Warriors,97,POR,Portland,Trail Blazers,Moda Center
81,TOR,Toronto,Raptors,94,WAS,Washington,Wizards,Verizon Center
85,PHI,Philadelphia,76ers,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
88,DET,Detroit,Pistons,84,BRO,Brooklyn,Nets,Barclays Center
109,HOU,Houston,Rockets,83,NYK,New York,Knicks,Madison Square Garden
105,LAL,Los Angeles,Lakers,91,ATL,Atlanta,Hawks,Philips Arena
110,NOP,New Orleans,Pelicans,107,MEM,Memphis,Grizzlies,FedEx Forum
89,CHI,Chicago,Bulls,82,BOS,Boston,Celtics,TD Garden
108,DAL,Dallas,Mavericks,98,UTA,Utah,Jazz,Vivint Smart Home Arena
97,POR,Portland,Trail Blazers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
96,OKL,Oklahoma City,Thunder,102,LAC,Los Angeles,Clippers,Staples Center
103,SAC,Sacramento,Kings,95,ORL,Orlando,Magic,Amway Center
87,IND,Indiana,Pacers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
99,DEN,Denver,Nuggets,100,MIN,Minnesota,Timberwolves,Target Center
82,BOS,Boston,Celtics,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
96,OKL,Oklahoma City,Thunder,101,GSW,Golden State,Warriors,Oracle Arena
91,ATL,Atlanta,Hawks,94,WAS,Washington,Wizards,Verizon Center
92,MIA,Miami,Heat,81,TOR,Toronto,Raptors,Air Canada Centre
93,CHA,Charlotte,Hornets,84,BRO,Brooklyn,Nets,Barclays Center
83,NYK,New York,Knicks,89,CHI,Chicago,Bulls,United Center
102,LAC,Los Angeles,Clippers,107,MEM,Memphis,Grizzlies,FedEx Forum
104,PHX,Phoenix,Suns,110,NOP,New Orleans,Pelicans,Smoothie King Center
97,POR,Portland,Trail Blazers,108,DAL,Dallas,Mavericks,American Airlines Center
106,SAS,San Antonio,Spurs,98,UTA,Utah,Jazz,Vivint Smart Home Arena
101,GSW,Golden State,Warriors,105,LAL,Los Angeles,Lakers,Staples Center
100,MIN,Minnesota,Timberwolves,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
86,CLE,Cleveland,Cavaliers,85,PHI,Philadelphia,76ers,Wells Fargo Center
94,WAS,Washington,Wizards,95,ORL,Orlando,Magic,Amway Center
99,DEN,Denver,Nuggets,88,DET,Detroit,Pistons,Palace of Auburn Hills
89,CHI,Chicago,Bulls,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
109,HOU,Houston,Rockets,91,ATL,Atlanta,Hawks,Philips Arena
103,SAC,Sacramento,Kings,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
102,LAC,Los Angeles,Clippers,106,SAS,San Antonio,Spurs,AT&T Center
98,UTA,Utah,Jazz,83,NYK,New York,Knicks,Madison Square Garden
97,POR,Portland,Trail Blazers,107,MEM,Memphis,Grizzlies,FedEx Forum
103,SAC,Sacramento,Kings,81,TOR,Toronto,Raptors,Air Canada Centre
90,MIL,Milwaukee,Bucks,108,DAL,Dallas,Mavericks,American Airlines Center
99,DEN,Denver,Nuggets,82,BOS,Boston,Celtics,TD Garden
104,PHX,Phoenix,Suns,105,LAL,Los Angeles,Lakers,Staples Center
98,UTA,Utah,Jazz,85,PHI,Philadelphia,76ers,Wells Fargo Center
109,HOU,Houston,Rockets,94,WAS,Washington,Wizards,Verizon Center
87,IND,Indiana,Pacers,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
95,ORL,Orlando,Magic,89,CHI,Chicago,Bulls,United Center
